iter	Passed	Remaining
291	220383	534353
292	221290	533968
293	222083	533303
294	222971	532864
295	223825	532342
296	224601	531633
297	225430	531046
298	226340	530651
299	227251	530253
300	228305	530184
301	229058	529413
302	229870	528777
303	230655	528079
304	231899	528427
305	232976	528385
306	233815	527798
307	234777	527485
308	235628	526922
309	236460	526316
310	237189	525477
311	237882	524560
312	238613	523730
313	239289	522779
314	240008	521923
315	241023	521708
316	241795	520966
317	242487	520052
318	243270	519333
319	244021	518546
320	244768	517750
321	245498	516919
322	246260	516156
323	246967	515278
324	247718	514493
325	248474	513717
326	249203	512887
327	249922	512037
328	250737	511382
329	251502	510626
330	252299	509933
331	253079	509208
332	253815	508393
333	254588	507653
334	255342	506872
335	256184	506270
336	257032	505674
337	257810	504942
338	258520	504076
339	259295	503338
340	260069	502598
341	260812	501796
342	261566	501017
343	262320	500239
344	263124	499555
345	263889	498796
346	264592	497921
347	265430	497299
348	266340	496812
349	267014	495883
350	267842	495241
351	268572	494418
352	269363	493706
353	270045	492794
354	270716	491864
355	271718	491534
356	272519	490840
357	273426	490335
358	274273	489719
359	275044	488967
360	275917	488397
361	276848	487926
362	277888	487644
363	278829	487185
364	279790	486759
365	280800	486413
366	281586	485679
367	282452	485082
368	283245	484356
369	284015	483593
370	284851	482942
371	285580	482108
372	286291	481246
373	286995	480371
374	287794	479657
375	288522	478825
376	289272	478028
377	290110	477377
378	290888	476628
379	291697	475927
380	292473	475173
381	293234	474395
382	294356	474198
383	295176	473512
384	295892	472659
385	296570	471746
386	297234	470813
387	297894	469875
388	298577	468974
389	299242	468045
390	300026	467304
391	300725	466431
392	301487	465656
393	302208	464817
394	302917	463961
395	303592	463055
396	304245	462115
397	304918	461208
398	305859	460705
399	306694	460042
400	307679	459600
401	308666	459159
402	309704	458793
403	310508	458077
404	311193	457185
405	312070	456576
406	312824	455786
407	313805	455325
408	314519	454477
409	315229	453622
410	315935	452764
411	316599	451845
412	317313	451000
413	318013	450134
414	318683	449228
415	319371	448348
416	320047	447452
417	320749	446593
418	321435	445713
419	322153	444878
420	322854	444020
421	323949	443703
422	324703	442916
423	325463	442139
424	326151	441263
425	326831	440378
426	327523	439510
427	328170	438582
428	328917	437789
429	329626	436946
430	330404	436194
431	331087	435318
432	331795	434476
433	332545	433687
434	333232	432819
435	333874	431892
436	334604	431081
437	335297	430222
438	335983	429354
439	336738	428576
440	337490	427794
441	338249	427020
442	338907	426120
443	339668	425351
444	340367	424502
445	341070	423661
446	341771	422817
447	342428	421921
448	343156	421112
449	343928	420356
450	344668	419562
451	345405	418765
452	346116	417937
453	346831	417114
454	347568	416318
455	348392	415626
456	349304	415038
457	350086	414294
458	351093	413816
459	351860	413053
460	352567	412220
461	353601	411769
462	354369	411007
463	355067	410164
464	355890	409465
465	356588	408622
466	357251	407740
467	357994	406951
468	358725	406147
469	359426	405311
470	360114	404459
471	360793	403599
472	361469	402736
473	362111	401836
474	362755	400940
475	363408	400054
476	364057	399165
477	364693	398263
478	365340	397374
479	365996	396496
480	366637	395602
481	367306	394740
482	368187	394105
483	368933	393325
484	369805	392680
485	370474	391818
486	371139	390954
487	371794	390079
488	372439	389194
489	373162	388393
490	373900	387607
491	374537	386718
492	375194	385849
493	375942	385075
494	376681	384291
495	377479	383567
496	378374	382941
497	379102	382147
498	379833	381355
499	380718	380718
500	381506	379983
501	382184	379139
502	382952	378384
503	383711	377621
504	384423	376811
505	385112	375978
506	385811	375158
507	386499	374326
508	387221	373528
509	387933	372720
510	388651	371918
511	389422	371168
512	390189	370414
513	390941	369644
514	391648	368833
515	392442	368104
516	393229	367369
517	393973	366592
518	394819	365911
519	395508	365084
520	396208	364268
521	396941	363483
522	397687	362709
523	398477	361975
524	399233	361211
525	399985	360442
526	400698	359640
527	401388	358817
528	402098	358011
529	402874	357266
530	403623	356495
531	404359	355714
532	405086	354926
533	405768	354097
534	406492	353306
535	407278	352569
536	408070	351836
537	408824	351072
538	409617	350341
539	410372	349576
540	411087	348778
541	411787	347967
542	412477	347149
543	413142	346310
544	413844	345503
545	414538	344689
546	415221	343866
547	415989	343115
548	416713	342327
549	417431	341534
550	418134	340730
551	418847	339934
552	419637	339200
553	420304	338368
554	421075	337619
555	421828	336856
556	422534	336054
557	423186	335212
558	423876	334399
559	424518	333550
560	425205	332736
561	425859	331897
562	426714	331215
563	427417	330414
