iter	MultiClass
427	0.5890526141
428	0.5879024227
429	0.5876364038
430	0.5872225188
431	0.5858485035
432	0.5852023514
433	0.5845436454
434	0.5838627035
435	0.5835941741
436	0.5828666596
437	0.5824514283
438	0.5818447847
439	0.5815624984
440	0.5811814488
441	0.579861802
442	0.5793964995
443	0.5789327252
444	0.5783277164
445	0.5779634983
446	0.5774836031
447	0.5767139118
448	0.5760055135
449	0.5756567111
450	0.5748676655
451	0.5736616825
452	0.5728830676
453	0.5721365475
454	0.5710240427
455	0.5697384535
456	0.5690259948
457	0.5686180098
458	0.5683314589
459	0.5677991065
460	0.5674358288
461	0.5661694546
462	0.5658465951
463	0.5650278127
464	0.5640993263
465	0.5636432265
466	0.5632840064
467	0.5629137548
468	0.5624661305
469	0.5613119845
470	0.5608992883
471	0.5602828685
472	0.5597331679
473	0.5594827327
474	0.5591680001
475	0.5585906252
476	0.5582170182
477	0.5579183225
478	0.5568188465
479	0.5556779628
480	0.5553059423
481	0.5550125036
482	0.5546187318
483	0.5537716236
484	0.5529753198
485	0.5526555358
486	0.5518949545
487	0.5515277998
488	0.551239919
489	0.5508922187
490	0.5504896114
491	0.5501954358
492	0.5497709945
493	0.5494401889
494	0.5491374472
495	0.5488788516
496	0.5483848771
497	0.547902933
498	0.5476857009
499	0.547383098
500	0.5469246874
501	0.5467102849
502	0.5463341616
503	0.5459788867
504	0.5454500237
505	0.5449221623
506	0.5445033924
507	0.5441961243
508	0.5435558557
509	0.542418212
510	0.5416175545
511	0.5411937309
512	0.5407199963
513	0.5403473933
514	0.5401094168
515	0.5398974974
516	0.5395799372
517	0.5392799929
518	0.538610649
519	0.5374533273
520	0.5371045435
521	0.5367993829
522	0.536121365
523	0.5356364428
524	0.5351369681
525	0.5348576521
526	0.5345787756
527	0.5342083463
528	0.5338744209
529	0.5335826737
530	0.5330694116
531	0.5328439751
532	0.5326199034
533	0.5323415664
534	0.5316503214
535	0.5312503782
536	0.5303144323
537	0.5297464108
538	0.5291877707
539	0.5288427583
540	0.5283493648
541	0.5280160008
542	0.5276913695
543	0.5268951426
544	0.526306695
545	0.5260759077
546	0.5252986971
547	0.5249972649
548	0.524755414
549	0.5243745392
550	0.5240423872
551	0.5226931539
552	0.5222086106
553	0.5218448009
554	0.5200697517
555	0.519797195
556	0.5195202572
557	0.5193019744
558	0.5190614003
559	0.5186607925
560	0.5183546374
561	0.5179556403
562	0.5172916342
563	0.5169706536
