iter	F1	Logloss
346	0.9685767098	0.06469951807
347	0.9689127878	0.06457416445
348	0.969259197	0.06441025125
349	0.9694323144	0.06432618512
350	0.9694323144	0.06424319429
351	0.9695951621	0.06399464187
352	0.9695951621	0.06378500319
353	0.9695951621	0.0637248372
354	0.9695951621	0.06365361674
355	0.969768223	0.06352469092
356	0.9699412259	0.06341827349
357	0.9699412259	0.06321178316
358	0.9702870572	0.06294678594
359	0.9706227967	0.06278500436
360	0.970795569	0.06268088172
361	0.9706227967	0.0625687385
362	0.9706326565	0.06230980873
363	0.9706326565	0.06223825059
364	0.9706326565	0.06215140114
365	0.9708053691	0.06207929017
366	0.9708053691	0.06196970886
367	0.9709780238	0.06191900844
368	0.9708053691	0.06179834751
369	0.9706326565	0.06163934273
370	0.9706326565	0.06156981788
371	0.9708151627	0.06137931337
372	0.9708053691	0.06118243421
373	0.971313538	0.06110194563
374	0.971313538	0.06092020406
375	0.9719939628	0.06069318393
376	0.9719939628	0.06061494854
377	0.9719939628	0.06056885932
378	0.9721663313	0.06046106383
379	0.9723386421	0.06039792003
380	0.9723386421	0.06031935484
381	0.9725108951	0.06021777397
382	0.9731903485	0.0600515593
383	0.9733623723	0.05993060261
384	0.9735343384	0.05978202349
385	0.9738605898	0.05967157668
386	0.9740325013	0.05959590095
387	0.9741784038	0.05945864226
388	0.9743503772	0.05938133276
389	0.9743503772	0.05922429107
390	0.9743503772	0.05909910753
391	0.9748659517	0.05900613546
392	0.975029328	0.05885505142
393	0.975029328	0.0587762488
394	0.9753645048	0.05869295013
395	0.975536193	0.05863964425
396	0.9757078238	0.05852122617
397	0.9760428883	0.05833792868
398	0.9762144054	0.05828715111
399	0.9762144054	0.05822567656
400	0.9760428883	0.05814975436
401	0.9765494137	0.05797890006
402	0.9768844221	0.05789664892
403	0.9770480818	0.05778473025
404	0.9770480818	0.05767528843
405	0.9768766756	0.05755870785
406	0.9767130173	0.05751017556
407	0.9767130173	0.057431806
408	0.9767130173	0.05737414961
409	0.9767130173	0.05725903443
410	0.9772270596	0.05705026748
411	0.9773982923	0.05694457434
412	0.9773982923	0.0569057899
413	0.9772270596	0.05682221457
414	0.9770557696	0.05672888096
415	0.9773982923	0.05664439609
416	0.9775694677	0.05634494886
417	0.9779042518	0.05622775534
418	0.9782390358	0.05608694804
419	0.9782390358	0.05600587773
420	0.9782390358	0.05584183382
421	0.9782317482	0.05577581675
422	0.9782317482	0.05568717195
423	0.9782244556	0.0554857987
424	0.9787234043	0.05541752348
425	0.9787234043	0.05536549506
426	0.9788944724	0.05525284344
427	0.9792364367	0.05508450692
428	0.9794004354	0.05501335345
429	0.9797353877	0.05494860567
430	0.9797353877	0.05486435413
431	0.9799062291	0.05477163484
432	0.9799062291	0.05467446417
433	0.9802345059	0.05446691151
434	0.9802411253	0.05429262163
435	0.9802411253	0.05423538909
436	0.9805890228	0.05410058536
437	0.9805825243	0.05392406215
438	0.9805825243	0.05388207108
439	0.9809109176	0.05373859622
440	0.9807466935	0.05364125499
441	0.9804118533	0.05343063469
442	0.9807337913	0.05334117734
443	0.9804118533	0.05319393593
444	0.9805760214	0.05313116216
445	0.9807466935	0.05305882259
446	0.9807466935	0.05298784836
447	0.9809109176	0.05284973084
448	0.9807466935	0.05277880862
449	0.9809109176	0.05271236968
450	0.9812520924	0.05264946428
451	0.9815868765	0.05257229599
452	0.9817573222	0.05251750526
453	0.9819277108	0.05245022874
454	0.9819277108	0.05234053499
455	0.9819277108	0.05225529551
456	0.9822623829	0.05217365503
457	0.9824267782	0.05212150183
458	0.9824326585	0.05203717098
459	0.9824326585	0.05193959441
460	0.9826028772	0.05178529516
461	0.982773039	0.05173602093
462	0.9829431438	0.05167492326
463	0.9829431438	0.05162145496
464	0.9829431438	0.0515500717
465	0.9829431438	0.05129595811
466	0.9831131918	0.0511576195
467	0.9831131918	0.05107205709
468	0.9831131918	0.05103906078
469	0.9832831829	0.05082218206
470	0.9832831829	0.05076783807
471	0.9836120401	0.05065282842
472	0.9836120401	0.0505869329
473	0.9836120401	0.050519625
474	0.9837765513	0.05042714066
475	0.9837765513	0.05037828879
476	0.9837765513	0.05033060977
477	0.9839464883	0.05027844911
478	0.9842861919	0.05021416272
479	0.9842861919	0.05013724523
480	0.9842861919	0.05004935695
481	0.9842861919	0.04995580351
482	0.9844559585	0.04991283024
483	0.9846205283	0.04986291588
484	0.984959893	0.04979812974
485	0.9851294904	0.04972634843
486	0.9852990311	0.04961715218
487	0.9851294904	0.04945952674
488	0.9854685151	0.04942328946
489	0.9854685151	0.04932557411
490	0.9854685151	0.04919887857
491	0.9854685151	0.04912111126
492	0.9854685151	0.04908229198
493	0.9854685151	0.04901244036
494	0.985633144	0.04887864516
495	0.985633144	0.04883055254
496	0.985633144	0.04876726282
497	0.9858073134	0.04861383344
498	0.9861319967	0.04852851181
499	0.9861319967	0.04845150742
